RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,2020/1/31,2020/2/29,2020/3/31,2020/4/30,2020/5/31,2020/6/30,2020/7/31,2020/8/31,2020/9/30,2020/10/31,2020/11/30,2020/12/31,2021/1/31,2021/2/28,2021/3/31,2021/4/30,2021/5/31,2021/6/30,2021/7/31,2021/8/31,2021/9/30,2021/10/31,2021/11/30,2021/12/31,2022/1/31,2022/2/28,2022/3/31,2022/4/30,2022/5/31,2022/6/30,2022/7/31,2022/8/31,2022/9/30,2022/10/31,2022/11/30,2022/12/31,2023/1/31,2023/2/28,2023/3/31,2023/4/30,2023/5/31,2023/6/30,2023/7/31,2023/8/31,2023/9/30,2023/10/31,2023/11/30,2023/12/31,2024/1/31,2024/2/29,2024/3/31,2024/4/30,2024/5/31,2024/6/30,2024/7/31,2024/8/31,2024/9/30,2024/10/31
62080,4,11368,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2495.949662,2451.786276,2696.150778,2627.583333
62093,7,11385,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2448.552539,2456.114502,2441.699457,2414.372329,2414.585348,2408.848916,2416.578386,2369.325024,2343.459061,2311.268979,2277.18678,2248.553239,2233.961106,2224.142451,2225.220481,2223.716391,2263.850982,2310.594689,2361.46521,2391.627788,2421.895186,2458.039418,2493.20493,2522.206093,2537.980354,2538.439726,2549.701337,2592.160272,2665.379262,2764.064998,2823.872564,2873.828026,2878.283396,2887.580004,2860.36321,2825.818008,2787.999137,2785.286916,2797.608818,2833.309496,2875.259992,2914.788585,2929.463925,2938.923338,2952.871612,2954.370805,2938.652074,2905.362588,2900.732538,2897.086924,2948.450316,2958.387102,3024.868871,3054.979187,3123.694005,3121.568676,3085.313131,3037.951683
62019,9,11208,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,,,,,,,,,,,,,,,,,,,,,,,,,,,2285.017583,2303.287224,2362.292972,2379.108781,2352.997416,2367.711391,2348.446651,2408.106456,2436.682224,2481.746316,2502.737396,2501.262499,2493.180076,2514.730105,2533.124443,2596.064552,2575.544018,2558.232975,2550.77048,2590.155719,2695.514464,2745.312238,2781.866256,2760.926253,2739.610395,2679.046724,2606.380282,2638.615827,2594.905411,2669.834113,2700.378234,2966.5
62046,16,11236,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2226.912352,2282.300853,2265.703371,2310.779922,2305.516006,2432.515196,2415.472963,2499.90132,2345.235084,2336.724978,2292.324977,2355.621291,2415.095384,2506.227156,2545.207357,2531.420584,2575.469612,2566.623693,2655.016354,2670.999221,2766.03716,2809.330132,2878.693165,2825.072914,2853.657189,2756.713378,2775.096993,2882.028383,2992.892446,2998.333333
61807,17,10467,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,1701.667988,1720.196638,1722.497624,1702.780799,1658.132924,1644.647114,1707.505681,1753.169132,1799.188665,1775.834274,1826.801832,1776.000473,1796.650983,1753.18918,1789.808222,1741.301568,1766.671784,1775.300705,1807.147047,1802.180821,1833.622005,1871.473734,1870.410004,1799.789637,1772.978937,1830.934216,1881.292853,1931.985726,1924.659295,1948.381217,1985.830439,1992.895569,1981.437263,1944.422534,1944.814316,1951.174029,1987.002286,2002.965849,2018.189785,1964.398315,2017.346988,2094.579791,2121.534051,2136.090568,2214.768327,2275.591304,2348.461758,2280.553836,2321.298593,2290.718252,2304.461736,2342.779682,2317.590597,2345.019835,2332.908075,2306.384723,2200.925488,2252.288889
62085,18,11373,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,,,,,,,,,,,,,,,,1894.898703,1906.100132,1990.801793,2012.176521,2031.377203,2045.573436,1997.025174,2020.484645,2008.839695,2007.273491,2050.381334,2088.891839,2164.16235,2170.632403,2232.923544,2264.413662,2251.31053,2230.028141,2227.687052,2250.506501,2255.664,2288.122177,2298.251557,2300.584723,2296.878394,2295.695708,2331.748481,2350.529574,2391.8659,2376.859557,2397.750237,2384.238397,2373.138928,2372.17198,2362.517778,2372.198622,2392.089566,2470.748613,2536.356106,2588.667958,2568.783602,2596.982476,2514.722222
62037,19,11226,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,2356.735086,2353.137021,2391.096032,2384.648241,2395.875001,2372.310269,2375.734082,2351.781292,2320.565685,2286.807301,2270.636155,2227.540549,2183.944963,2184.338431,2210.199814,2256.542538,2279.808227,2309.557044,2347.467334,2366.198864,2398.998916,2398.913745,2412.969155,2415.059884,2442.963583,2479.406238,2522.595186,2551.78745,2594.712383,2644.371724,2681.394428,2684.517967,2683.728129,2687.205092,2684.120444,2655.763611,2655.906028,2652.699241,2685.8648,2690.356729,2714.925538,2734.505463,2752.082185,2765.358144,2752.0229,2728.264754,2709.387092,2714.497215,2746.692481,2746.828353,2742.439364,2731.30616,2757.299347,2772.292436,2824.342251,2831.758946,2826.203941,2758.041313
62018,20,11207,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,2427.558751,2412.951628,2390.711693,2398.412766,2411.129791,2398.269369,2366.881964,2326.053284,2270.415359,2217.848226,2170.399489,2168.255195,2158.564712,2144.21696,2126.146617,2126.400454,2198.042308,2267.113716,2326.106442,2343.675289,2366.71314,2409.391307,2411.760543,2451.038991,2463.927411,2485.811446,2464.346177,2499.170357,2619.094203,2741.182208,2820.032086,2836.645788,2892.704384,2902.69807,2890.220929,2852.649018,2798.276272,2777.089527,2735.643558,2765.142363,2795.223351,2871.177931,2932.659218,2978.091497,3058.148351,3033.70901,2976.719355,2859.072418,2862.479064,2878.336336,2892.941073,2944.064074,3017.638389,3067.239121,3070.918844,3066.457849,3071.827669,3085.887081
61639,29,10025,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,3249.332953,3268.952072,3277.404169,3256.94023,3211.758444,3136.460028,3097.673743,3006.433125,2909.250652,2832.679782,2790.139564,2762.426581,2762.09442,2770.898231,2827.118326,2863.66944,2957.079284,3047.765277,3147.297057,3227.361976,3277.976245,3304.19293,3325.695089,3367.866227,3412.649965,3474.748587,3498.467734,3548.896404,3593.008137,3683.742718,3755.880544,3805.504875,3825.609106,3781.284482,3719.628477,3665.414208,3671.246328,3669.103716,3680.433507,3717.337212,3795.565369,3873.828492,3923.325459,3941.350068,3937.142379,3862.02097,3768.6192,3665.403969,3661.132108,3702.169872,3764.852272,3842.469923,3929.794926,4021.131494,4061.087446,4075.391657,4064.181987,4035.48408
62025,32,11214,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,,,1838.531259,1766.775976,1731.598925,1671.290112,1707.575247,1744.778627,1794.329967,1807.617968,1805.106833,1794.981442,1807.904807,1782.703094,1753.232101,1744.509412,1755.948663,1789.506167,1792.699502,1817.982803,1816.415327,1818.79964,1819.555155,1886.830141,1901.112976,1936.868313,1928.811709,1984.656528,1972.76793,1949.36823,1942.606419,1982.282094,2001.614193,1997.380363,1995.695483,2006.254749,2011.91932,2055.616652,2066.784329,2108.228251,2146.048304,2158.952829,2177.362364,2121.728257,2145.322476,2130.072307,2179.35968,2173.223409,2195.93332,2219.982921,2267.045932,2329.713732,2347.80644,2272.282098,2231.862724,2253.58669,2357.885144,2402.738095
