RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,2020/1/31,2020/2/29,2020/3/31,2020/4/30,2020/5/31,2020/6/30,2020/7/31,2020/8/31,2020/9/30,2020/10/31,2020/11/30,2020/12/31,2021/1/31,2021/2/28,2021/3/31,2021/4/30,2021/5/31,2021/6/30,2021/7/31,2021/8/31,2021/9/30,2021/10/31,2021/11/30,2021/12/31,2022/1/31,2022/2/28,2022/3/31,2022/4/30,2022/5/31,2022/6/30,2022/7/31,2022/8/31,2022/9/30,2022/10/31,2022/11/30,2022/12/31,2023/1/31,2023/2/28,2023/3/31,2023/4/30,2023/5/31,2023/6/30,2023/7/31,2023/8/31,2023/9/30,2023/10/31,2023/11/30,2023/12/31,2024/1/31,2024/2/29,2024/3/31,2024/4/30,2024/5/31,2024/6/30,2024/7/31,2024/8/31,2024/9/30,2024/10/31
62080,4,11368,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,528192.5513,527257.9331,524266.8869,522275.7551,521385.8966,520385.4649,516688.0603,510385.4489,504947.0533,503106.5165,503648.3719,506264.9883,508977.3169,512132.7739,514154.5606,513545.6329,513274.2662,512169.748,513647.7357,515205.8675,517516.8521,520167.886,521725.61,521886.5486,519710.7745,517534.2128,516469.1801,516859.675,516227.8608,516353.1285,516371.5289,514825.6658,511602.011,508097.2372,506580.5043,503289.0968,497724.7854,490815.4358,484453.6347,477787.0771,470639.5052,465210.9166,463377.257,463371.2736,462810.5803,460771.8956,457397.8469,453086.1861,450240.7146,448627.1989,451705.6007,456243.0792,460893.4624,461600.3652,461088.3069,460451.756,461417.1941,461167.6634
62093,7,11385,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,766285.7989,766877.8575,767261.5503,768287.1361,768536.4365,767880.2674,766388.6369,764911.0132,763249.7218,759656.0962,756066.808,753333.4891,752381.316,753657.6495,756193.4421,760293.3909,764712.0556,768415.3642,771259.6151,772388.4569,773570.8195,775890.4852,779431.7837,782268.2101,783578.9456,783441.0612,785378.2513,788904.9023,796084.1756,804432.1755,810063.0413,811312.8675,807884.0481,804876.191,802838.171,802151.0402,800703.4403,798950.1418,797761.3744,799366.6266,801223.3903,802036.8361,801422.6498,800283.2195,798291.492,797013.956,795779.0556,795640.661,794282.4344,794342.2473,797380.3834,802193.8617,805219.7147,804711.7393,804494.0148,806317.1057,810315.097,814334.5334
62019,9,11208,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,584068.9906,584128.7635,585511.1235,588232.9422,591933.8491,592971.8297,591628.3327,589038.7449,587388.2159,586779.6156,587397.0672,588714.2938,590735.7777,593778.0866,597376.1903,602246.4986,606894.9754,609155.7304,610491.6539,610604.1028,613045.0459,617421.0245,623356.3187,628199.3085,630765.6855,631969.9884,633731.5522,636190.4051,640465.8793,645628.6165,649119.456,649810.279,647188.836,644657.7619,642264.0676,641399.4727,640105.1502,637786.3937,636126.6364,640209.9856,648346.8232,654695.8922,657573.2355,657020.513,656315.7577,655178.3202,654648.3232,656263.7936,658709.2043,661959.5045,666439.9514,670734.9506,673815.9802,674124.7157,674583.6354,675525.6251,677539.8115,678312.5958
62046,16,11236,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,556446.9626,558779.0834,561201.589,563977.3689,566000.6542,565868.5525,564319.2332,562457.2286,561660.1352,561378.6302,562520.3082,564734.5944,568278.5559,572763.2932,578465.4836,584991.3657,591055.9298,594904.868,596912.0801,597603.3015,597795.9425,598878.1747,601476.8284,604396.597,607793.5657,611521.098,616361.0037,620093.7352,622655.9924,625384.0087,627041.0886,627201.2391,623448.9344,620023.418,616886.219,614528.1186,610691.624,606678.5476,604931.0922,608805.3879,615239.9444,621151.7554,624614.7003,626492.4521,627861.0346,628682.6178,629011.7669,630674.0876,632713.9092,635540.8974,638623.8278,641375.9892,642619.7219,641839.5194,641629.1061,643184.2422,646821.0764,650637.8842
61807,17,10467,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,431082.0357,426699.4385,417166.3314,409128.2387,404095.7432,402164.9537,402087.5964,401990.7242,405016.7382,408095.2042,412207.5775,416081.1222,421889.1117,431480.8278,444899.4438,455437.9229,462904.8753,461875.0864,453605.0806,438793.4334,421945.6344,411599.8941,403827.0889,397758.7052,394423.7922,398191.8645,407522.6089,413924.7751,414126.5258,412279.031,408672.7881,402399.6187,392358.9323,384807.8927,380556.4127,379171.3681,374879.9445,373540.1407,375699.3949,384275.2474,391838.1879,396577.9295,399856.8644,402236.009,403255.2745,400096.9758,394496.2228,386985.913,381999.9947,378034.3793,377532.6494,374809.2634,372827.7494,369062.9695,368696.3921,369597.5864,371425.2383,371800.4154
62085,18,11373,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,675125.7007,675670.066,673499.9506,668760.7271,664276.6679,662083.928,654935.9003,644841.2841,635070.8307,630178.7264,626333.1372,623006.2305,618409.3087,617337.4815,618486.6607,619560.1717,620293.6876,617666.3285,618197.5604,618781.8738,619884.8323,620588.8097,619487.8569,617252.3966,614656.63,614966.0152,617660.6325,619954.9559,619968.559,621096.5036,619121.3226,612322.9867,601194.8327,591469.7937,584564.2629,577927.3963,569925.2246,564723.2741,561582.7387,556310.5616,545838.3427,531434.1991,521217.4534,513781.9845,509985.4504,505959.7697,501444.1463,497843.2393,493967.4468,492163.3388,491428.9632,492810.0324,495404.8497,497218.8519,499719.7298,501979.0505,503272.4502,505398.0184
62037,19,11226,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,913821.4127,919871.1917,925994.544,929605.2612,928682.5681,929098.7399,919039.756,905479.2995,891196.6162,883514.0393,880009.6017,879692.6752,878268.8502,881684.4754,884981.3055,890551.7927,896986.049,899133.6335,901053.6068,899959.0947,898288.9789,898211.5278,900641.7175,903865.2099,905274.1242,905744.7596,912668.5216,918181.6606,923894.3481,923823.4207,919197.3722,907841.2214,892787.91,882130.2491,872460.0179,864739.5542,848766.2564,829188.7384,805448.7945,788123.521,775945.5371,768508.9942,763737.4068,760067.9943,756236.1552,750225.0149,744755.7538,740808.231,738999.9323,736167.8032,735796.501,737097.3936,739811.796,740252.5319,741976.7221,746867.7294,751606.0116,755189.4696
62018,20,11207,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,497648.9459,497959.3028,499070.9147,500960.3872,504461.9252,506027.1198,504726.5977,501079.2366,498315.4597,497521.0516,498101.417,499875.7749,501869.1167,504621.6495,507782.5118,511566.9,514995.3743,516370.2841,518345.3033,520403.9508,523325.9681,526586.246,530528.0984,534250.2541,537318.4343,539978.7374,542038.9935,543904.4253,546057.3039,549394.2838,551795.9505,553319.5679,552849.5708,552426.5203,551324.7928,550595.8289,548359.0052,544631.4831,541665.3724,544941.2958,551732.2671,557268.3053,560053.9486,562018.0826,564536.5173,565679.4058,566096.7726,567452.3457,570076.9306,573323.5193,577378.5397,580778.4139,582897.9508,583917.8055,584796.4526,586570.5404,588942.016,591661.4183
61639,29,10025,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,1179815.239,1175020.916,1173401.087,1166500.394,1164275.97,1156312.362,1146497.413,1134516.158,1134377.056,1137048.817,1138672.449,1137888.908,1138062.093,1141839.096,1144501.445,1142896.827,1143557.858,1143788.271,1151265.087,1158070.695,1161304.781,1165689.458,1174011.164,1185018.869,1195425.181,1204135.34,1229622.798,1251157.342,1273508.724,1281837.747,1276651.968,1253681.127,1218026.173,1190483.284,1165819.575,1143117.762,1120745.349,1104185.593,1092029.537,1082817.41,1079775.562,1077796.434,1075762.079,1068856.095,1062785.147,1057206.453,1052664.981,1052391.302,1052701.441,1052669.524,1049546.82,1049356.621,1047036.95,1048535.132,1053008.793,1063008.21,1068721.873,1075084.951
62025,32,11214,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,798150.7497,794982.1722,785622.1079,776586.6477,769608.3403,765538.5136,758379.963,749228.3375,740923.873,734826.3673,732076.6826,729379.3162,727839.951,729134.2917,733778.5017,738524.7318,742381.5358,741226.3698,739759.006,736147.7427,733405.3821,733281.6945,734991.293,736486.9703,735830.7043,736394.9989,739140.2942,742931.8283,743442.5829,743284.8953,741850.1034,738565.1601,731532.5831,723205.3914,716875.9092,713352.1671,707142.1793,699314.8108,689308.4072,685887.6904,686662.9715,689732.4052,691794.9278,691467.9304,689423.5858,684639.0829,678746.3975,673971.614,673661.5757,676736.2785,684641.2171,692095.2941,697745.7053,698836.0314,700918.4407,704548.5985,708524.6707,711318.4079
